Domain ID,Annotation,Matched Members,Matched Count,Raw Enrichment P-value,Raw Enrichment Q-value,Raw Depletion P-value,Raw Depletion Q-value,Domain Enrichment P-value,Domain Enrichment Q-value,Domain Depletion P-value,Domain Depletion Q-value
40,amino acid catabolic process via Ehrlich pathway,ADH2;ADH3;ADH4;ADH5;ARO10;PDC1;PDC5;PDC6;SFA1,9,0.047,1.0,0.832,0.9583052714398111,0.047,1.0,0.996,1.0
-1,signal transduction involved in filamentous growth,,0,0.001,0.04973076923076923,0.87,0.9583052714398111,1.0,1.0,1.0,1.0
-1,cardiolipin metabolic process,,0,1.0,1.0,0.911,0.9583052714398111,1.0,1.0,1.0,1.0
-1,"positive regulation of cytokinesis, actomyosin contractile ring assembly",,0,0.01,0.7688108108108108,0.885,0.9583052714398111,1.0,1.0,1.0,1.0
-1,pheromone response MAPK cascade,,0,1.0,1.0,0.906,0.9583052714398111,1.0,1.0,1.0,1.0
-1,error-prone translesion synthesis,,0,1.0,1.0,0.829,0.9583052714398111,1.0,1.0,1.0,1.0
-1,mitotic spindle organization,,0,0.01,0.71115,0.561,0.9583052714398111,1.0,1.0,1.0,1.0
3,N-terminal protein amino acid acetylation,ARD1;MAK10;MAK3;MAK31;MDM20;NAT1;NAT3;NAT5,8,0.001,0.11754545454545455,0.866,0.9583052714398111,0.001,0.11754545454545455,1.0,1.0
-1,pyrimidine ribonucleoside monophosphate biosynthetic process,,0,0.003,0.6465000000000001,0.864,0.9583052714398111,1.0,1.0,1.0,1.0
-1,DNA duplex unwinding,,0,0.001,0.32325,0.555,0.9583052714398111,1.0,1.0,1.0,1.0
-1,axial cellular bud site selection,,0,0.007,1.0,0.838,0.9583052714398111,1.0,1.0,1.0,1.0
-1,mitochondrial RNA 5'-end processing,,0,1.0,1.0,0.894,0.9583052714398111,1.0,1.0,1.0,1.0
19,phosphate ion transmembrane transport,MIR1;PHO87;PHO89;PHO90;PHO91;PIC2;SYG1,7,0.001,0.10775000000000001,0.881,0.9583052714398111,0.001,0.10775000000000001,1.0,1.0
-1,mating type determination,,0,0.006,0.96975,0.688,0.9583052714398111,1.0,1.0,1.0,1.0
18,response to reactive oxygen species,CCP1;CCS1;CTT1;CUP1-1;CUP1-2;DDR2;DRE2;HSP42;MDL2;MRP1;RSM26;SKN7;SOD1;SOD2;TRR1;TRR2;YAP1;ZWF1,18,0.012,1.0,0.72,0.9583052714398111,0.012,1.0,1.0,1.0
-1,response to carbohydrate,,0,0.002,0.43100000000000005,0.832,0.9583052714398111,1.0,1.0,1.0,1.0
-1,copper ion transport,,0,1.0,1.0,0.851,0.9583052714398111,1.0,1.0,1.0,1.0
-1,protein localization to chromosome,,0,0.011,0.8288461538461539,0.546,0.9583052714398111,1.0,1.0,1.0,1.0
-1,monocarboxylic acid catabolic process,,0,0.012,1.0,0.721,0.96511004784689,1.0,1.0,1.0,1.0
-1,regulation of vesicle-mediated transport,,0,0.004,0.5746666666666667,0.528,0.9583052714398111,1.0,1.0,1.0,1.0
-1,regulation of translational fidelity,,0,0.003,0.29838461538461536,0.679,0.9583052714398111,1.0,1.0,1.0,1.0
-1,organic hydroxy compound catabolic process,,0,0.003,0.7388571428571429,0.862,0.9583052714398111,1.0,1.0,1.0,1.0
-1,protoporphyrinogen IX biosynthetic process,,0,1.0,1.0,0.917,0.9583052714398111,1.0,1.0,1.0,1.0
34,purine ribonucleotide catabolic process,CDC19;CIT1;EMI2;ENO1;ENO2;FBA1;GLK1;GPM1;GPM2;HXK1;HXK2;PDA1;PDB1;PFK1;PFK2;PFK27;PGI1;PGK1;PYK2;SCS3;TDH1;TDH2;TDH3;TPI1,24,0.001,0.039181818181818186,0.638,0.9583052714398111,0.001,0.039181818181818186,0.983,1.0
-1,establishment or maintenance of actin cytoskeleton polarity,,0,1.0,1.0,0.821,0.9583052714398111,1.0,1.0,1.0,1.0
-1,regulation of actin filament bundle assembly,,0,0.01,1.0,0.812,0.9583052714398111,1.0,1.0,1.0,1.0
-1,positive regulation of mitotic spindle pole body separation,,0,0.01,0.9293437499999999,0.877,0.9583052714398111,1.0,1.0,1.0,1.0
53,mitophagy,ATG13;ATG9;CTR9;GET1;GET2;PAF1;PBP1;PEP1;PPG1;WHI2,10,0.019,1.0,0.851,0.9583052714398111,0.019,1.0,1.0,1.0
-1,protein localization to vacuolar membrane,,0,0.054,1.0,0.884,0.9583052714398111,1.0,1.0,1.0,1.0
-1,postreplication repair,,0,0.019,1.0,0.651,0.9583052714398111,1.0,1.0,1.0,1.0
-1,cell wall integrity MAPK cascade,,0,1.0,1.0,0.844,0.9583052714398111,1.0,1.0,1.0,1.0
-1,phospholipid transport,,0,0.001,0.161625,0.617,0.9583052714398111,1.0,1.0,1.0,1.0
-1,microtubule polymerization or depolymerization,,0,0.008,0.6896,0.657,0.9583052714398111,1.0,1.0,1.0,1.0
-1,nucleoside triphosphate biosynthetic process,,0,0.001,0.07605882352941176,0.583,0.9583052714398111,1.0,1.0,1.0,1.0
-1,negative regulation of cell division,,0,0.005,0.6465,0.91,0.9583052714398111,1.0,1.0,1.0,1.0
-1,threonine biosynthetic process,,0,0.009,1.0,0.916,0.9583052714398111,1.0,1.0,1.0,1.0
-1,regulation of RNA polymerase II transcription preinitiation complex assembly,,0,0.001,0.06805263157894736,0.781,0.9583052714398111,1.0,1.0,1.0,1.0
-1,transcription initiation at RNA polymerase I promoter,,0,0.091,1.0,0.854,0.9583052714398111,1.0,1.0,1.0,1.0
-1,alditol metabolic process,,0,0.007,0.36204000000000003,0.819,0.9583052714398111,1.0,1.0,1.0,1.0
-1,deadenylation-dependent decapping of nuclear-transcribed mRNA,,0,0.001,0.14366666666666666,0.779,0.9583052714398111,1.0,1.0,1.0,1.0
-1,regulation of glucose metabolic process,,0,0.01,1.0,0.786,0.9583052714398111,1.0,1.0,1.0,1.0
-1,ribosomal large subunit assembly,,0,0.001,0.14366666666666666,0.455,0.9750146579804561,1.0,1.0,1.0,1.0
-1,retrotransposon silencing,,0,0.009,1.0,0.864,0.9583052714398111,1.0,1.0,1.0,1.0
37,folic acid-containing compound biosynthetic process,DFR1;FAU1;FOL2;MET7;MIS1;MTD1,6,0.03,1.0,0.89,0.9583052714398111,0.03,1.0,1.0,1.0
57,negative regulation of glycogen metabolic process,IGD1;PCL10;PCL8;PHO85;PSK1,5,0.001,0.053875000000000006,0.925,0.9583052714398111,0.001,0.053875000000000006,1.0,1.0
-1,pyrimidine-containing compound biosynthetic process,,0,0.012,0.9127058823529411,0.687,0.9583052714398111,1.0,1.0,1.0,1.0
61,negative regulation of TORC1 signaling,HSF1;IML1;NPR2;NPR3;PBP1;PSR1;TIP41;WHI2,8,0.004,1.0,0.875,0.9583052714398111,0.004,1.0,0.996,1.0
-1,DNA synthesis involved in DNA repair,,0,1.0,1.0,0.723,0.9583052714398111,1.0,1.0,1.0,1.0
-1,cellular response to monosaccharide stimulus,,0,0.001,0.43100000000000005,0.86,0.9583052714398111,1.0,1.0,1.0,1.0
-1,negative regulation of small molecule metabolic process,,0,1.0,1.0,0.799,0.9583052714398111,1.0,1.0,1.0,1.0
-1,mitochondrion-endoplasmic reticulum membrane tethering,,0,0.005,1.0,0.909,0.9583052714398111,1.0,1.0,1.0,1.0
-1,regulation of DNA repair,,0,0.006,0.2586,0.757,0.9583052714398111,1.0,1.0,1.0,1.0
40,protein unfolding,APJ1;ARB1;GCN20;HSP104;HSP78;PEX1;PEX6;SSC1,8,0.005,1.0,0.866,0.9583052714398111,0.041,1.0,0.992,1.0
-1,protein-containing complex remodeling,,0,0.001,0.14366666666666666,0.832,0.9583052714398111,1.0,1.0,1.0,1.0
-1,intracellular pH reduction,,0,0.001,0.10775000000000001,0.643,0.9583052714398111,1.0,1.0,1.0,1.0
-1,replication fork arrest,,0,1.0,1.0,0.875,0.9583052714398111,1.0,1.0,1.0,1.0
-1,positive regulation of cytoskeleton organization,,0,0.02,0.8873529411764707,0.518,0.9583052714398111,1.0,1.0,1.0,1.0
-1,negative regulation of actin nucleation,,0,1.0,1.0,0.882,0.9583052714398111,1.0,1.0,1.0,1.0
46,protein export from nucleus,BCP1;CRM1;FUS3;GPA1;MSG5;MSN5;NUP120;NUP159;NUP2;NUP60;NUP82;SAC3;YRB2,13,0.028,1.0,0.796,0.9583052714398111,0.028,1.0,1.0,1.0
-1,chromosome organization involved in meiotic cell cycle,,0,0.195,1.0,0.785,0.96511004784689,1.0,1.0,1.0,1.0
-1,centromere complex assembly,,0,0.019,1.0,0.794,0.9583052714398111,1.0,1.0,1.0,1.0
-1,pyrimidine nucleoside triphosphate biosynthetic process,,0,0.006,1.0,0.861,0.9583052714398111,1.0,1.0,1.0,1.0
-1,regulation of exit from mitosis,,0,0.041,1.0,0.563,0.9583052714398111,1.0,1.0,1.0,1.0
56,positive regulation of attachment of spindle microtubules to kinetochore,ASK1;CDC7;DAD1;DAD2;DAD3;DAM1;DUO1;HSK3;SPC19;SPC34,10,0.014,1.0,0.827,0.9583052714398111,0.014,1.0,0.986,1.0
-1,L-methionine salvage,,0,0.004,0.6465,0.862,0.9583052714398111,1.0,1.0,1.0,1.0
-1,negative regulation of chromosome organization,,0,0.013,1.0,0.585,0.9583052714398111,1.0,1.0,1.0,1.0
-1,regulation of autophagosome assembly,,0,0.006,0.43100000000000005,0.783,0.9583052714398111,1.0,1.0,1.0,1.0
-1,rRNA catabolic process,,0,0.001,0.03402631578947368,0.531,0.9583052714398111,1.0,1.0,1.0,1.0
-1,regulation of transcription from RNA polymerase II promoter by glucose,,0,0.092,1.0,0.842,0.9583052714398111,1.0,1.0,1.0,1.0
-1,chromosome separation,,0,0.001,0.10775000000000001,0.56,0.9583052714398111,1.0,1.0,1.0,1.0
-1,negative regulation of lipid biosynthetic process,,0,0.004,0.8004285714285714,0.88,0.9583052714398111,1.0,1.0,1.0,1.0
-1,positive regulation of DNA recombination,,0,0.003,1.0,0.908,0.9583052714398111,1.0,1.0,1.0,1.0
-1,"retrograde transport, vesicle recycling within Golgi",,0,0.005,1.0,0.897,0.9583052714398111,1.0,1.0,1.0,1.0
-1,protein localization to endosome,,0,1.0,1.0,0.925,0.9583052714398111,1.0,1.0,1.0,1.0
-1,phospholipid translocation,,0,0.001,0.161625,0.755,0.9583052714398111,1.0,1.0,1.0,1.0
-1,hexose biosynthetic process,,0,0.001,0.039181818181818186,0.652,0.9583052714398111,1.0,1.0,1.0,1.0
-1,positive regulation of receptor-mediated endocytosis,,0,1.0,1.0,0.882,0.9583052714398111,1.0,1.0,1.0,1.0
-1,polyamine transport,,0,1.0,1.0,0.888,0.9583052714398111,1.0,1.0,1.0,1.0
-1,nucleolar chromatin organization,,0,0.015,0.8404499999999999,0.562,0.9583052714398111,1.0,1.0,1.0,1.0
43,actin filament-based transport,AIM21;MYO2;MYO3;MYO4;MYO5,5,0.011,0.71115,0.914,0.9583052714398111,0.011,0.71115,1.0,1.0
-1,negative regulation of small GTPase mediated signal transduction,,0,0.008,0.9946153846153846,0.788,0.9583052714398111,1.0,1.0,1.0,1.0
-1,plasmid partitioning,,0,0.001,0.43100000000000005,0.912,0.9583052714398111,1.0,1.0,1.0,1.0
-1,fungal-type cell wall assembly,,0,0.001,0.07183333333333333,0.741,0.9583052714398111,1.0,1.0,1.0,1.0
-1,positive regulation of molecular function,,0,0.007,1.0,0.702,0.9583052714398111,1.0,1.0,1.0,1.0
-1,premeiotic DNA replication,,0,1.0,1.0,0.895,0.9583052714398111,1.0,1.0,1.0,1.0
46,telomere localization,CTF18;CTF8;DCC1;ESC1;MLP1;MLP2;MPS2;MPS3;NUP100;NUP116;NUP120;NUP133;NUP145;NUP170;NUP49;NUP60;NUP84;SCP160;SIR2;SIR3;SIR4,21,0.001,0.07183333333333333,0.668,0.9583052714398111,0.001,0.07183333333333333,1.0,1.0
-1,phosphatidylinositol phosphate biosynthetic process,,0,0.005,0.7388571428571429,0.675,0.9583052714398111,1.0,1.0,1.0,1.0
-1,hydrogen peroxide catabolic process,,0,0.021,1.0,0.911,0.9583052714398111,1.0,1.0,1.0,1.0
-1,transcription-coupled nucleotide-excision repair,,0,0.001,0.07605882352941176,0.728,0.9583052714398111,1.0,1.0,1.0,1.0
-1,amide catabolic process,,0,0.005,0.7542500000000001,0.871,0.9583052714398111,1.0,1.0,1.0,1.0
-1,protein import into peroxisome matrix,,0,0.118,1.0,0.706,0.9583052714398111,1.0,1.0,1.0,1.0
-1,negative regulation of nuclear division,,0,0.012,0.7924838709677419,0.562,0.9583052714398111,1.0,1.0,1.0,1.0
-1,pre-replicative complex assembly,,0,0.001,0.14366666666666666,0.727,0.9583052714398111,1.0,1.0,1.0,1.0
-1,signal transduction in response to DNA damage,,0,0.001,0.04973076923076923,0.63,0.9583052714398111,1.0,1.0,1.0,1.0
-1,regulation of cell wall organization or biogenesis,,0,0.011,0.7688108108108108,0.689,0.9583052714398111,1.0,1.0,1.0,1.0
-1,manganese ion transport,,0,0.001,0.10775000000000001,0.904,0.9583052714398111,1.0,1.0,1.0,1.0
-1,cell wall mannoprotein biosynthetic process,,0,0.001,0.10775000000000001,0.79,0.9583052714398111,1.0,1.0,1.0,1.0
-1,establishment of protein localization to extracellular region,,0,0.006,1.0,0.806,0.9583052714398111,1.0,1.0,1.0,1.0
7,negative regulation of mRNA metabolic process,ATP25;HEK2;IGO1;IGO2;NAB2;NAB6;RPL30;SYC1,8,0.008,1.0,0.866,0.96511004784689,0.008,1.0,1.0,1.0
-1,cell redox homeostasis,,0,0.013,1.0,0.72,0.9583052714398111,1.0,1.0,1.0,1.0
48,protein K11-linked ubiquitination,APC1;APC2;APC4;APC5;DOC1,5,0.001,0.10775000000000001,0.919,0.9583052714398111,0.001,0.10775000000000001,1.0,1.0
63,trehalose metabolic process,CDC28;HSP104;NTH1;NTH2;PGM1;TPS1;TPS2;TPS3;TSL1;UGP1,10,0.013,1.0,0.821,0.9583052714398111,0.047,1.0,1.0,1.0
-1,positive regulation of microtubule polymerization or depolymerization,,0,0.006,0.6896,0.777,0.9583052714398111,1.0,1.0,1.0,1.0
-1,valine metabolic process,,0,0.001,0.09946153846153846,0.872,0.9583052714398111,1.0,1.0,1.0,1.0
-1,regulation of DNA binding,,0,0.082,1.0,0.855,0.9583052714398111,1.0,1.0,1.0,1.0
-1,establishment of protein localization to peroxisome,,0,0.118,1.0,0.706,0.9583052714398111,1.0,1.0,1.0,1.0
-1,purine nucleoside bisphosphate biosynthetic process,,0,0.008,0.7640454545454545,0.777,0.9583052714398111,1.0,1.0,1.0,1.0
-1,spindle assembly,,0,0.02,0.9293437499999999,0.736,0.9583052714398111,1.0,1.0,1.0,1.0
-1,mitochondrial respiratory chain complex II assembly,,0,1.0,1.0,0.912,0.9583052714398111,1.0,1.0,1.0,1.0
